Aberto,target_d7,previsto
2025-12-04,741.0,832.3219536577903
2025-12-05,727.0,849.0158688862675
2025-12-06,761.0,729.502729007332
2025-12-07,695.0,706.3492788949444
2025-12-08,863.0,833.3010057388805
2025-12-09,1076.0,823.255859327606
2025-12-10,1025.0,815.3182249130936
2025-12-11,1005.0,833.4060249565035
2025-12-12,839.0,855.1622488625798
2025-12-13,984.0,717.4104224895034
2025-12-14,1104.0,698.9916998732035
2025-12-15,1370.0,851.6760861626684
2025-12-16,1122.0,807.6985463441104
2025-12-17,929.0,787.0232949473636
2025-12-18,704.0,777.8488941715673
2025-12-19,910.0,800.564081822149
2025-12-20,1027.0,697.321314234605
2025-12-21,829.0,697.548456768971
2025-12-22,921.0,771.5881127808567
2025-12-23,866.0,720.2291748168255
2025-12-24,755.0,737.1501695364376
