Aberto,target_d1,previsto
2025-12-10,741.0,814.966912914257
2025-12-11,727.0,828.9273826826422
2025-12-12,761.0,800.3967141815723
2025-12-13,695.0,903.5763180193989
2025-12-14,863.0,806.8887854689632
2025-12-15,1076.0,802.9988758942396
2025-12-16,1025.0,830.5009869741413
2025-12-17,1005.0,746.894894638839
2025-12-18,839.0,748.8074344768606
2025-12-19,984.0,663.1555326942793
2025-12-20,1104.0,722.3166125768726
2025-12-21,1370.0,708.1434718477185
2025-12-22,1122.0,739.5278149089286
2025-12-23,929.0,691.8952494935619
2025-12-24,704.0,694.7515254084683
2025-12-25,910.0,788.0487621626985
2025-12-26,1027.0,716.4435409266658
2025-12-27,829.0,756.2442478169979
2025-12-28,921.0,687.5526435786435
2025-12-29,866.0,768.399280198603
2025-12-30,755.0,784.4289255809983
